AUTHOR	UUIDS	PMIDS	PI	NUMPAPERS
A Stowe L	516e3a0b-c90a-33ca-9a70-0720855423d6	17141528	1	1
Aaen-Stockdale C	928260c9-91d0-3064-a030-041e28a05cb5	19224619	0	1
Aalto M	c130330c-814a-31fd-a1e0-96c5a58a53c8	19393323	0	1
Aarsland D	b6b44d31-43b5-30b7-99c3-c468170f08c6	22275317	0	1
Aarts E	d9a66251-240d-369c-bd8a-b1b59771d54a	19467359,19439588,18448644	0	3
Aasen I	e472d383-78ed-3dc4-b8b5-8ade5c3f064e	16616832,16181792	0	2
Abad FJ	1f50c354-ab22-3e6e-9ea1-1b456c29e81a	23357078	0	1
Abasolo D	7237775c-c131-321f-b9b7-41833bff385f	21683794	0	1
Abbasi DA	75afe02f-3d2a-3728-af81-c80201a7632c	22696391	0	1
Abbott DF	b040fe1e-f021-31fe-881e-d5685d173d4d	18042496,14980573,15110018,23266745,21162043,22807270,23398652	1	7
Abbott R	8f4e050c-14ee-3077-a633-1d63ade2727b	23034517	0	1
Abbott S	55aea911-f78e-3432-85e8-8606bbdb631a	21967987	0	1
Abbs B	0d07c6a0-1332-30ca-8c1f-41109a8a1a6b	20071507	0	1
Abdel-Hamid M	8d21f0f7-bbc4-3d6b-94f6-3e167f7a94dd	21392946	0	1
Abdollahi RO	f9296d8c-c3d0-3256-adff-fc43067d3907	22235032	0	1
Abdul-Rahman MF	e29f8c02-3c5d-33b4-8dbc-d17fe0b61425	23112850	0	1
Abduljalil A	d0b35473-abcc-3b12-b9e4-89b8e96c67cf	21966494	0	1
Abdulkadir A	22d24247-ef69-377a-b99c-f54e9a379049	21708272,23501047	0	2
Abdulsabur N	15fbe127-ec64-3ee2-8147-c03fb7dd8809	17618656	0	1
Abe J	f2e5d1bf-96f0-3e2e-8179-e8710356f036	22534570,21930137,19853585,17662699	1	4
Abe M	7038141c-253b-3058-a4d5-3a8ebc9ca121	17392459,19234068	0	2
